filename,grid_row,grid_col,horizontal_offset_m,depth_offset_m,expected_ground_distance_m,expected_euclidean_m
left_35deg_185cmgnd_100cmgrid_20250926_103842.jpg,3,3,0.25,2.4,2.413,3.041
left_35deg_185cmgnd_100cmgrid_20250926_103842.jpg,3,4,0.75,2.4,2.514,3.122
left_35deg_185cmgnd_100cmgrid_20250926_103842.jpg,4,1,-0.75,2.95,3.044,3.562
left_35deg_185cmgnd_100cmgrid_20250926_103842.jpg,4,2,-0.25,2.95,2.961,3.491
left_35deg_185cmgnd_100cmgrid_20250926_103842.jpg,4,3,0.25,2.95,2.961,3.491
left_35deg_185cmgnd_100cmgrid_20250926_103842.jpg,4,4,0.75,2.95,3.044,3.562
left_35deg_185cmgnd_200cmgrid_20250926_103708.jpg,1,1,-0.75,2.3,2.419,3.045
left_35deg_185cmgnd_200cmgrid_20250926_103708.jpg,1,2,-0.25,2.3,2.314,2.962
left_35deg_185cmgnd_200cmgrid_20250926_103708.jpg,1,3,0.25,2.3,2.314,2.962
left_35deg_185cmgnd_200cmgrid_20250926_103708.jpg,1,4,0.75,2.3,2.419,3.045
left_35deg_185cmgnd_200cmgrid_20250926_103708.jpg,2,1,-0.75,2.85,2.947,3.48
left_35deg_185cmgnd_200cmgrid_20250926_103708.jpg,2,2,-0.25,2.85,2.861,3.407
left_35deg_185cmgnd_200cmgrid_20250926_103708.jpg,2,3,0.25,2.85,2.861,3.407
left_35deg_185cmgnd_200cmgrid_20250926_103708.jpg,2,4,0.75,2.85,2.947,3.48
left_35deg_185cmgnd_200cmgrid_20250926_103708.jpg,3,1,-0.75,3.4,3.482,3.943
left_35deg_185cmgnd_200cmgrid_20250926_103708.jpg,3,2,-0.25,3.4,3.409,3.879
left_35deg_185cmgnd_200cmgrid_20250926_103708.jpg,3,3,0.25,3.4,3.409,3.879
left_35deg_185cmgnd_200cmgrid_20250926_103708.jpg,3,4,0.75,3.4,3.482,3.943
left_35deg_185cmgnd_200cmgrid_20250926_103708.jpg,4,1,-0.75,3.95,4.021,4.426
left_35deg_185cmgnd_200cmgrid_20250926_103708.jpg,4,2,-0.25,3.95,3.958,4.369
left_35deg_185cmgnd_200cmgrid_20250926_103708.jpg,4,3,0.25,3.95,3.958,4.369
left_35deg_185cmgnd_200cmgrid_20250926_103708.jpg,4,4,0.75,3.95,4.021,4.426
left_40deg_150cmgnd_250cmgrid_20250926_111216.jpg,1,1,-0.75,2.8,2.899,3.264
left_40deg_150cmgnd_250cmgrid_20250926_111216.jpg,1,2,-0.25,2.8,2.811,3.186
left_40deg_150cmgnd_250cmgrid_20250926_111216.jpg,1,3,0.25,2.8,2.811,3.186
left_40deg_150cmgnd_250cmgrid_20250926_111216.jpg,1,4,0.75,2.8,2.899,3.264
left_40deg_150cmgnd_250cmgrid_20250926_111216.jpg,2,1,-0.75,3.35,3.433,3.746
left_40deg_150cmgnd_250cmgrid_20250926_111216.jpg,2,2,-0.25,3.35,3.359,3.679
left_40deg_150cmgnd_250cmgrid_20250926_111216.jpg,2,3,0.25,3.35,3.359,3.679
left_40deg_150cmgnd_250cmgrid_20250926_111216.jpg,2,4,0.75,3.35,3.433,3.746
left_40deg_150cmgnd_250cmgrid_20250926_111216.jpg,3,1,-0.75,3.9,3.971,4.245
